,coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,clouds_all,dt,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,snow_3h,weather_1_id,weather_1_main,weather_1_description,weather_1_icon,visibility,sys_type,sys_id,rain_3h,wind_gust,rain_1h,weather_2_id,weather_2_main,weather_2_description,weather_2_icon,snow_1h
jalu,21.55,29.03,803,Clouds,broken clouds,04n,model,283.14,279.81,283.14,283.14,1023,80,1023,1016,3.67,303,71,1578455908,LY,1578461308,1578498691,7200,86049,Jalu,200,,,,,,,,,,,,,,,,
tual,132.75,-5.67,500,Rain,light rain,10d,model,301.06,303.49,301.06,301.06,1007,78,1007,1003,4.59,305,100,1578455909,ID,1578430925,1578475682,32400,1623197,Tual,200,,,,,,,,,2.81,,,,,,,
coahuayana,-100.35,18.62,802,Clouds,scattered clouds,03n,model,296.37,295.22,296.37,296.37,1017,43,1017,951,1.69,72,31,1578455909,MX,1578402926,1578442752,-21600,3981460,Coahuayana,200,,,,,,,,,,,,,,,,
bereda,-7.54,43.27,804,Clouds,overcast clouds,04n,stations,282.06,279.65,277.59,287.04,1030,100,,,3.1,190,90,1578455910,ES,1578470517,1578503449,3600,3105522,Bereda,200,,,,,,10000,1,6403,,,,,,,,
koulikoro,-7.56,12.86,800,Clear,clear sky,01n,stations,292.15,287.85,292.15,292.15,1015,21,,,2.6,20,0,1578455910,ML,1578466456,1578507520,0,2454530,Koulikoro,200,,,,,,10000,1,2354,,,,,,,,
ostrovnoy,39.51,68.05,500,Rain,light rain,10n,model,274.6,266.32,274.6,274.6,994,92,994,976,9.06,226,100,1578455910,RU,1578472736,1578478640,10800,556268,Ostrovnoy,200,,,,,,,,,0.13,,,,,,,
staraya poltavka,46.48,50.48,600,Snow,light snow,13n,model,269.98,265.4,269.98,269.98,1027,96,1027,1023,3.01,121,100,1578455911,RU,1578459194,1578488836,14400,489102,Staraya Poltavka,200,0.69,,,,,,,,,,,,,,,
komsomolskiy,63.78,67.55,600,Snow,light snow,13n,model,256.03,250.26,256.03,256.03,1017,97,1017,996,3.26,186,98,1578455911,RU,1578465641,1578474082,10800,1486910,Komsomolskiy,200,0.13,,,,,,,,,,,,,,,
aleysk,82.77,52.5,804,Clouds,overcast clouds,04d,model,259.11,254.19,259.11,259.11,1032,86,1032,1006,2.15,223,94,1578455911,RU,1578451059,1578479546,25200,1511783,Aleysk,200,,,,,,,,,,,,,,,,
ypsonas,32.96,34.69,200,Thunderstorm,thunderstorm with light rain,11n,stations,282.42,279.25,281.48,283.15,1007,87,,,3.6,80,40,1578455911,CY,1578459351,1578495170,7200,145952,Ypsonas,200,,,,,,10000,1,6374,,,,,,,,
russkaya polyana,73.88,53.78,804,Clouds,overcast clouds,04d,model,259.95,256.01,259.95,259.95,1031,96,1031,1017,0.92,337,100,1578455912,RU,1578453591,1578481282,21600,1493423,Russkaya Polyana,200,,,,,,,,,,,,,,,,
manjacaze,33.88,-24.71,800,Clear,clear sky,01d,model,294.15,297.68,294.15,294.15,1012,96,1012,1006,0.47,70,0,1578455912,MZ,1578452584,1578501495,7200,1040938,Manjacaze,200,,,,,,,,,,,,,,,,
surin,103.49,14.88,803,Clouds,broken clouds,04d,stations,303.01,306.4,300.15,304.82,1016,61,,,1.5,100,78,1578455912,TH,1578440009,1578480647,25200,1606030,Surin,200,,,,,,10000,1,9292,,,,,,,,
eura,22.13,61.13,521,Rain,shower rain,09n,stations,277.62,270.81,277.04,278.15,997,93,,,7.7,200,90,1578455913,FI,1578469159,1578490562,7200,660080,Eura,200,,,,,,9000,1,1353,,13.4,,,,,,
ndola,28.64,-12.97,804,Clouds,overcast clouds,04d,model,290.74,292.19,290.74,290.74,1014,96,1014,873,1.29,69,100,1578455913,ZM,1578455173,1578501422,7200,901344,Ndola,200,,,,,,,,,,,,,,,,
kijang,129.21,35.24,803,Clouds,broken clouds,04d,stations,284.15,276.92,284.15,284.15,1012,50,,,7.7,310,75,1578455913,KR,1578436333,1578471974,32400,1842966,Kijang,200,,,,,,10000,1,8086,,,,,,,,
alegrete,-55.79,-29.79,800,Clear,clear sky,01n,model,292.8,288.65,292.8,292.8,1009,37,1009,992,4.19,135,0,1578455914,BR,1578473453,1578523680,-10800,3472638,Alegrete,200,,,,,,,,,,,,,,,,
szecseny,19.52,48.08,800,Clear,clear sky,01n,stations,264.95,261.4,262.15,267.04,1031,85,,,0.67,57,0,1578455914,HU,1578465056,1578495918,3600,3044809,Szecseny,200,,,,,,10000,1,7039,,,,,,,,
biak,122.88,-0.91,500,Rain,light rain,10d,model,302.54,303,302.54,302.54,1009,69,1009,1008,6.91,4,100,1578455914,ID,1578433768,1578477579,28800,1637001,Biak,200,,,,,,,,,0.25,,,,,,,
basco,-91.2,40.33,800,Clear,clear sky,01n,stations,273.76,268.78,272.15,275.93,1022,73,,,3.6,360,1,1578455915,US,1578403659,1578437625,-21600,4863349,Basco,200,,,,,,16093,1,3996,,,,,,,,
puri,112.45,-7.54,500,Rain,light rain,10d,model,302.57,306.81,302.57,302.57,1009,69,1009,990,1.54,316,75,1578455915,ID,1578435611,1578480744,25200,1635111,Puri,200,,,,,,,,,0.75,,,,,,,
chiradzulu,35.18,-15.7,803,Clouds,broken clouds,04d,model,294.22,297.1,294.22,294.22,1012,92,1012,943,0.98,109,82,1578455915,MW,1578453311,1578500144,7200,930580,Chiradzulu,200,,,,,,,,,,,,,,,,
sohbatpur,68.54,28.52,800,Clear,clear sky,01d,model,284.61,281.46,284.61,284.61,1018,73,1018,1010,3.43,326,0,1578455916,PK,1578449964,1578487474,18000,1164660,Sohbatpur,200,,,,,,,,,,,,,,,,
abu samrah,37.18,35.3,804,Clouds,overcast clouds,04n,model,280.36,275.99,280.36,280.36,1011,85,1011,965,4.6,118,93,1578455916,SY,1578458429,1578494066,7200,172515,Abu Samrah,200,,,,,,,,,,,,,,,,
ossora,163.07,59.24,600,Snow,light snow,13d,model,267.1,256.42,267.1,267.1,1006,94,1006,1005,11.27,39,100,1578455916,RU,1578434352,1578457697,43200,2122389,Ossora,200,1.31,,,,,,,,,,,,,,,
pinega,43.39,64.7,600,Snow,light snow,13n,model,272.48,266.7,272.48,272.48,1006,96,1006,999,5.17,185,100,1578455917,RU,1578466673,1578482840,10800,509483,Pinega,200,0.75,,,,,,,,,,,,,,,
santo antonio da platina,-50.08,-23.3,804,Clouds,overcast clouds,04n,model,293.12,295.22,293.12,293.12,1010,96,1010,949,1.82,7,100,1578455917,BR,1578472917,1578521475,-10800,3449529,Santo Antonio da Platina,200,,,,,,,,,,,,,,,,
guymon,-101.48,36.68,800,Clear,clear sky,01n,stations,275.15,269.47,275.15,275.15,1022,51,,,4.1,180,1,1578455918,US,1578405520,1578440700,-21600,5515743,Guymon,200,,,,,,16093,1,4405,,,,,,,,
college,-147.8,64.86,701,Mist,mist,50n,stations,240.28,235.82,238.15,242.04,1021,96,,,0.83,319,75,1578455918,US,1578426365,1578442095,-32400,5859699,College,200,,,,,,8047,1,7683,,,,,,,,
waingapu,120.26,-9.65,804,Clouds,overcast clouds,04d,model,301.73,301.44,301.73,301.73,1007,75,1007,1007,8.48,304,91,1578455918,ID,1578433521,1578479084,28800,1622318,Waingapu,200,,,,,,,,,,,,,,,,
burnie,145.91,-41.05,800,Clear,clear sky,01d,stations,293.15,291.79,293.15,293.15,1007,75,,,4.47,356,0,1578455919,AU,1578423198,1578477091,39600,2173125,Burnie,200,,,,,,,3,50154,,5.36,,,,,,
porto novo,-45.44,-23.68,803,Clouds,broken clouds,04n,stations,296.15,299.59,296.15,296.15,1013,88,,,1,190,75,1578455919,BR,1578471756,1578520408,-10800,6322184,Porto Novo,200,,,,,,8000,1,8434,,,,,,,,
macklin,-109.94,52.34,804,Clouds,overcast clouds,04n,model,257.09,249.26,257.09,257.09,1022,89,1022,936,6.2,129,100,1578455919,CA,1578410875,1578439407,-21600,6063429,Macklin,200,,,,,,,,,,,,,,,,
flinders,150.85,-34.58,500,Rain,light rain,10d,stations,298.06,295.56,296.48,299.82,1015,53,,,5.7,150,3,1578455920,AU,1578423130,1578474787,39600,6255012,Flinders,200,,,,,,3000,1,9594,0.75,,,,,,,
tondano,124.91,1.3,802,Clouds,scattered clouds,03d,stations,302.15,307.51,302.15,302.15,1010,79,,,1.5,60,40,1578455920,ID,1578433499,1578476873,28800,1623424,Tondano,200,,,,,,10000,1,9356,,,,,,,,
