,coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,clouds_all,dt,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,snow_3h,weather_1_id,weather_1_main,weather_1_description,weather_1_icon,visibility,sys_type,sys_id,rain_3h,wind_gust,rain_1h,weather_2_id,weather_2_main,weather_2_description,weather_2_icon,snow_1h
boca do acre,-67.39,-8.76,803,Clouds,broken clouds,04n,model,297.49,301.14,297.49,297.49,1010,84,1010,993,1.09,347,56,1578455762,BR,1578392233,1578437619,-14400,3664956,Boca do Acre,200,,,,,,,,,,,,,,,,
caravelas,-39.27,-17.73,803,Clouds,broken clouds,04n,model,296.15,298.4,296.15,296.15,1013,94,1013,1005,3.49,22,59,1578455762,BR,1578470964,1578518237,-10800,3466980,Caravelas,200,,,,,,,,,,,,,,,,
iqaluit,-68.52,63.75,600,Snow,light snow,13n,stations,245.26,239.56,245.15,245.37,1001,61,,,2.6,340,90,1578455762,CA,1578406371,1578424024,-18000,5983720,Iqaluit,200,,,,,,19312,1,797,,,,,,,,
rincon,-82.28,8.46,800,Clear,clear sky,01n,model,295.14,296.37,295.14,295.14,1014,73,1014,990,1.6,8,0,1578455763,PA,1578397526,1578439475,-18000,3711668,Rincon,200,,,,,,,,,,,,,,,,
khatanga,102.47,71.98,600,Snow,light snow,13n,model,257.79,251.23,257.79,257.79,1007,95,1007,1003,4.48,247,100,1578455763,RU,0,0,25200,2022572,Khatanga,200,0.31,,,,,,,,,,,,,,,
severo-kurilsk,156.12,50.68,600,Snow,light snow,13d,model,267.51,259.4,267.51,267.51,1003,83,1003,963,7.44,306,73,1578455763,RU,1578432941,1578462445,39600,2121385,Severo-Kurilsk,200,0.38,,,,,,,,,,,,,,,
general roca,-67.58,-39.03,800,Clear,clear sky,01n,stations,296.15,290.4,296.15,296.15,1002,28,,,6.2,250,0,1578455764,AR,1578474845,1578527949,-10800,3855065,General Roca,200,,,,,,10000,1,8310,,,,,,,,
qaanaaq,-69.36,77.48,802,Clouds,scattered clouds,03n,model,241.52,236.81,241.52,241.52,988,77,988,948,1.17,86,30,1578455764,GL,0,0,-14400,3831208,Qaanaaq,200,,,,,,,,,,,,,,,,
hobyo,48.53,5.35,804,Clouds,overcast clouds,04d,model,297.73,297.57,297.73,297.73,1013,79,1013,1006,5.99,33,100,1578455764,SO,1578452235,1578494810,10800,57000,Hobyo,200,,,,,,,,,,,,,,,,
yellowknife,-114.38,62.45,800,Clear,clear sky,01n,stations,235.15,229.73,235.15,235.15,1022,73,,,2.1,40,5,1578455765,CA,1578416397,1578436017,-25200,6185377,Yellowknife,200,,,,,,24140,1,1007,,,,,,,,
albany,-73.75,42.65,804,Clouds,overcast clouds,04n,stations,271.72,268.11,269.82,273.71,1012,68,,,1.21,61,90,1578455521,US,1578399896,1578433009,-18000,5106834,Albany,200,,,,,,16093,1,3273,,,,,,,,
puerto ayora,-90.35,-0.74,500,Rain,light rain,10n,stations,297.59,300.5,297.59,297.59,1012,81,,,1.79,90,32,1578455765,EC,1578398549,1578442327,-21600,3652764,Puerto Ayora,200,,,,,,,3,2005652,0.13,3.13,,,,,,
tolstoy-yurt,45.77,43.44,701,Mist,mist,50n,stations,272.15,268.2,272.15,272.15,1018,100,,,2.61,261,100,1578455766,RU,1578457758,1578490613,10800,482309,Tolstoy-Yurt,200,,,,,,5000,1,8964,,,,,,,,
new norfolk,147.06,-42.78,801,Clouds,few clouds,02d,stations,295.49,289.75,294.15,297.59,1018,49,,,8.7,160,20,1578455766,AU,1578422579,1578477158,39600,2155415,New Norfolk,200,,,,,,10000,1,9545,,,,,,,,
thompson,-97.86,55.74,801,Clouds,few clouds,02n,stations,247.15,241.51,247.15,247.15,1022,75,,,2.6,300,20,1578455767,CA,1578409106,1578435376,-21600,6165406,Thompson,200,,,,,,24140,1,935,,,,,,,,
clyde river,-68.59,70.47,804,Clouds,overcast clouds,04n,stations,248.15,243,248.15,248.15,989,62,,,1.88,230,90,1578455767,CA,0,0,-18000,5924351,Clyde River,200,,,,,,14484,1,776,,,,,,,,
havoysund,24.66,71,804,Clouds,overcast clouds,04n,stations,275.15,257.4,275.15,275.15,973,74,,,22.1,190,100,1578455767,NO,0,0,3600,779622,Havoysund,200,,,,,,10000,1,1632,,27.3,,,,,,
hilo,-155.08,19.71,803,Clouds,broken clouds,04d,stations,293.1,289.25,280.37,300.15,1019,54,,,5.7,50,75,1578455629,US,1578416183,1578455773,-36000,5855927,Hilo,200,,,,,,16093,1,7881,,,,,,,,
vanimo,141.3,-2.67,501,Rain,moderate rain,10d,model,300.32,299.33,300.32,300.32,1007,84,1007,1007,9.91,288,100,1578455768,PG,1578429172,1578473331,36000,2084442,Vanimo,200,,,,,,,,,6.75,,,,,,,
urengoy,78.37,65.96,804,Clouds,overcast clouds,04n,model,253.98,247.74,253.98,253.98,1017,96,1017,1013,3.81,245,96,1578455768,RU,1578459634,1578473084,18000,1488414,Urengoy,200,,,,,,,,,,,,,,,,
saldanha,-6.55,41.42,801,Clouds,few clouds,02n,model,276.15,273.55,276.15,276.15,1031,75,1031,954,0.67,23,21,1578455768,PT,1578469932,1578503559,0,2737599,Saldanha,200,,,,,,,,,,,,,,,,
pangkalanbuun,111.62,-2.68,804,Clouds,overcast clouds,04d,model,305.01,309.78,305.01,305.01,1009,61,1009,1007,0.99,332,100,1578455719,ID,1578436296,1578480457,25200,1632694,Pangkalanbuun,200,,,,,,,,,,,,,,,,
jamestown,138.6,-33.21,800,Clear,clear sky,01d,model,304.58,301.23,304.58,304.58,1013,20,1013,958,3.39,77,0,1578455769,AU,1578426282,1578477517,37800,2069194,Jamestown,200,,,,,,,,,,,,,,,,
saint george,22.34,39.45,802,Clouds,scattered clouds,03n,stations,270.62,266.89,267.15,274.82,1026,79,,,1.5,,40,1578455769,GR,1578462653,1578496967,7200,262462,Saint George,200,,,,,,10000,1,6607,,,,,,,,
zyryanka,150.89,65.73,802,Clouds,scattered clouds,03d,model,242.41,236.62,242.41,242.41,1013,76,1013,1006,2.73,171,45,1578455769,RU,1578441984,1578455914,39600,2119283,Zyryanka,200,,,,,,,,,,,,,,,,
bluff,149.07,-23.58,800,Clear,clear sky,01d,model,306.42,302.65,306.42,306.42,1011,25,1011,992,5.67,107,2,1578455770,AU,1578425064,1578473708,36000,2175403,Bluff,200,,,,,,,,,,,,,,,,
rikitea,-134.97,-23.12,800,Clear,clear sky,01n,model,298.22,297.06,298.22,298.22,1017,80,1017,1016,7.9,110,0,1578455770,PF,1578406880,1578455420,-32400,4030556,Rikitea,200,,,,,,,,,,,,,,,,
katsuura,134.5,33.93,801,Clouds,few clouds,02d,stations,288.48,274.64,286.15,290.15,1003,42,,,17.5,290,20,1578455770,JP,1578434870,1578470898,32400,1865309,Katsuura,200,,,,,,10000,1,8027,,26.7,,,,,,
ribeira grande,-28.7,38.52,803,Clouds,broken clouds,04n,model,289.38,285.52,289.38,289.38,1027,92,1027,1003,7.79,200,60,1578455770,PT,1578474746,1578509380,-3600,3372707,Ribeira Grande,200,,,,,,,,,,,,,,,,
mataura,168.86,-46.19,804,Clouds,overcast clouds,04d,stations,288.71,285.28,288.71,288.71,1015,69,,,4.92,212,97,1578455640,NZ,1578416590,1578472679,46800,6201424,Mataura,200,,,,,,,3,2008959,,8.49,,,,,,
krasnyy chikoy,108.75,50.36,800,Clear,clear sky,01d,model,254.66,250.65,254.66,254.66,1033,92,1033,901,0.63,151,0,1578455771,RU,1578444221,1578473910,32400,2012349,Krasnyy Chikoy,200,,,,,,,,,,,,,,,,
boa vista,-60.67,2.82,800,Clear,clear sky,01n,stations,300.15,301.6,300.15,300.15,1013,65,,,3.1,80,0,1578455657,BR,1578391776,1578434849,-14400,3664980,Boa Vista,200,,,,,,10000,1,8340,,,,,,,,
atuona,-139.03,-9.8,801,Clouds,few clouds,02n,model,300.63,300.71,300.63,300.63,1010,73,1010,1009,6.75,89,21,1578455771,PF,1578409326,1578454923,-34200,4020109,Atuona,200,,,,,,,,,,,,,,,,
punta arenas,-70.91,-53.16,804,Clouds,overcast clouds,04n,stations,282.1,275.93,282.04,282.15,980,76,,,7.2,270,100,1578455772,CL,1578472204,1578532189,-10800,3874787,Punta Arenas,200,,,,,,10000,1,8487,,,,,,,,
cherskiy,161.3,68.75,800,Clear,clear sky,01n,model,244.33,237.62,244.33,244.33,1014,73,1014,1012,4.06,149,3,1578455772,RU,0,0,39600,2126199,Cherskiy,200,,,,,,,,,,,,,,,,
mae ramat,98.52,16.98,804,Clouds,overcast clouds,04d,stations,298.15,300.95,298.15,298.15,1016,69,,,0.56,157,100,1578455772,TH,1578441425,1578481618,25200,1152202,Mae Ramat,200,,,,,,7000,1,9262,,,,,,,,
hithadhoo,73.08,-0.6,500,Rain,light rain,10d,model,301.11,302.53,301.11,301.11,1011,78,1011,1011,6.08,44,100,1578455773,MV,1578445754,1578489503,18000,1282256,Hithadhoo,200,,,,,,,,,2.13,,,,,,,
igarka,86.57,67.47,600,Snow,light snow,13n,model,255.58,248.69,255.58,255.58,1015,96,1015,1009,4.83,188,100,1578455773,RU,1578460018,1578468763,25200,1505991,Igarka,200,0.56,,,,,,,,,,,,,,,
camacha,-16.33,33.08,802,Clouds,scattered clouds,03n,stations,289.15,285.7,289.15,289.15,1031,63,,,4.6,50,40,1578455773,PT,1578470947,1578507240,0,2270385,Camacha,200,,,,,,10000,1,6902,,,,,,,,
sao joao da barra,-41.05,-21.64,802,Clouds,scattered clouds,03n,model,298.41,300.02,298.41,298.41,1011,91,1011,1009,5.75,32,40,1578455773,BR,1578470946,1578519110,-10800,3448903,Sao Joao da Barra,200,,,,,,,,,,,,,,,,
nikolskoye,30.79,59.7,804,Clouds,overcast clouds,04n,stations,276,272.03,275.93,276.15,1013,86,,,3,220,90,1578455774,RU,1578466307,1578489256,10800,546105,Nikolskoye,200,,,,,,10000,1,8926,,,,,,,,
roma,12.48,41.89,804,Clouds,overcast clouds,04n,stations,277.94,274.79,275.37,280.37,1025,67,,,1.5,10,98,1578455620,IT,1578465452,1578498903,3600,6539761,Rome,200,,,,,,10000,1,6792,,,,,,,,
arraial do cabo,-42.02,-22.97,802,Clouds,scattered clouds,03n,stations,298.15,302.9,298.15,298.15,1010,94,,,1.5,20,40,1578455774,BR,1578471021,1578519501,-10800,3471451,Arraial do Cabo,200,,,,,,10000,1,8343,,,,,,,,
tiksi,128.87,71.64,804,Clouds,overcast clouds,04n,model,249.89,244.41,249.89,249.89,1008,90,1008,991,2.51,234,100,1578455775,RU,0,0,32400,2015306,Tiksi,200,,,,,,,,,,,,,,,,
muroto,134.14,33.37,803,Clouds,broken clouds,04d,stations,289.15,280.81,289.15,289.15,1006,48,,,10.3,270,75,1578455775,JP,1578434875,1578471065,32400,1856392,Muroto,200,,,,,,10000,1,8021,,18,,,,,,
axim,-2.24,4.87,804,Clouds,overcast clouds,04n,model,296.8,300.18,296.8,296.8,1011,84,1011,1003,1,272,100,1578455775,GH,1578464376,1578507046,0,2303611,Axim,200,,,,,,,,,,,,,,,,
tuktoyaktuk,-133.03,69.44,600,Snow,light snow,13n,stations,238.15,229.53,238.15,238.15,1024,73,,,6.7,220,75,1578455775,CA,0,0,-25200,6170031,Tuktoyaktuk,200,,,,,,16093,1,942,,,,,,,,
coihaique,-72.07,-45.58,803,Clouds,broken clouds,04n,stations,280.15,277,280.15,280.15,994,81,,,2.6,70,75,1578455776,CL,1578474601,1578530349,-10800,3894426,Coihaique,200,,,,,,10000,1,8491,,,,,,,,
provideniya,-173.23,64.42,800,Clear,clear sky,01n,model,248.83,244.81,248.83,248.83,1024,91,1024,991,0.39,108,0,1578455776,RU,1578518339,1578535182,43200,4031574,Provideniya,200,,,,,,,,,,,,,,,,
port alfred,26.89,-33.59,500,Rain,light rain,10d,stations,294.26,295.28,294.26,294.26,1008,98,,,4.37,44,100,1578455777,ZA,1578453051,1578504385,7200,964432,Port Alfred,200,,,,,,,3,2011314,0.75,,,,,,,
hammerfest,23.68,70.66,804,Clouds,overcast clouds,04n,stations,275.15,257.4,275.15,275.15,973,74,,,22.1,190,100,1578455777,NO,0,0,3600,779683,Hammerfest,200,,,,,,10000,1,1632,,27.3,,,,,,
saskylakh,114.09,71.97,804,Clouds,overcast clouds,04n,model,253.3,247.17,253.3,253.3,1006,96,1006,996,3.62,246,87,1578455777,RU,0,0,32400,2017155,Saskylakh,200,,,,,,,,,,,,,,,,
henties bay,14.28,-22.12,800,Clear,clear sky,01n,stations,290.93,292.71,290.93,290.93,1013,91,,,0.45,323,0,1578455777,NA,1578457604,1578505886,7200,3356832,Henties Bay,200,,,,,,,3,2012545,,0.89,,,,,,
busselton,115.35,-33.64,800,Clear,clear sky,01d,stations,300.04,300.39,299.26,300.93,1007,40,,,0.45,223,0,1578455778,AU,1578431800,1578483162,28800,2075265,Busselton,200,,,,,,,3,2020551,,2.24,,,,,,
lasa,32.53,34.92,200,Thunderstorm,thunderstorm with light rain,11n,stations,282.61,279.48,281.48,283.15,1007,87,,,3.6,80,40,1578455778,CY,1578459488,1578495239,7200,146639,Lasa,200,,,,,,10000,1,6374,,,,,,,,
esperance,121.89,-33.86,800,Clear,clear sky,01d,stations,299.15,297.13,299.15,299.15,1006,54,,,5.7,230,0,1578455778,AU,1578430196,1578481626,28800,2071860,Esperance,200,,,,,,10000,1,9525,,,,,,,,
vaini,74.49,15.34,701,Mist,mist,50d,stations,293.66,296.2,293.15,294.15,1019,94,,,1.32,100,40,1578455779,IN,1578447019,1578487562,19800,1273574,Vaini,200,,,,,,2000,1,9229,,,,,,,,
tateyama,137.31,36.66,520,Rain,light intensity shower rain,09d,stations,286.4,279.9,286.15,286.48,997,87,,,9.8,260,75,1578455779,JP,1578434607,1578469811,32400,1849876,Tateyama,200,,,,,,10000,1,8020,,17,1.02,,,,,
thalheim,12.23,51.65,803,Clouds,broken clouds,04n,stations,277.9,271.82,276.48,279.26,1024,80,,,6.2,190,68,1578455779,DE,1578467735,1578496739,3600,2823078,Thalheim,200,,,,,,10000,1,1273,,,,,,,,
marquette,-87.4,46.54,804,Clouds,overcast clouds,04n,stations,263.69,255.65,263.15,264.26,1011,66,,,6.7,310,90,1578455779,US,1578403974,1578435486,-18000,5000947,Marquette,200,,,,,,16093,1,5777,,9.3,,,,,,
florida,-56.21,-34.1,800,Clear,clear sky,01n,model,292.75,288.47,292.75,292.75,1009,33,1009,998,3.94,25,0,1578455780,UY,1578472929,1578524406,-10800,3442585,Florida,200,,,,,,,,,,,,,,,,
cristalina,-47.61,-16.77,500,Rain,light rain,10n,model,293.81,296.51,293.81,293.81,1013,95,1013,911,1.31,273,100,1578455780,BR,1578473073,1578520133,-10800,3465164,Cristalina,200,,,,,,,,,3,,,,,,,
montalban,124.88,12.17,804,Clouds,overcast clouds,04d,model,301.3,302.61,301.3,301.3,1012,62,1012,982,3.52,78,100,1578455780,PH,1578434593,1578475793,28800,1713262,Montalban,200,,,,,,,,,,,,,,,,
talaya,84.89,55.79,620,Snow,light shower snow,13d,stations,265.3,260.23,265.15,265.37,1028,92,,,3,200,75,1578455780,RU,1578451645,1578477942,25200,1485724,Talaya,200,,,,,,5000,1,8961,,,,,,,,
alice springs,133.88,-23.7,803,Clouds,broken clouds,04d,stations,311.15,307.63,311.15,311.15,1010,17,,,4.6,70,77,1578455692,AU,1578428696,1578477369,34200,2077895,Alice Springs,200,,,,,,10000,1,9483,,,,,,,,
benjamin constant,-70.03,-4.38,802,Clouds,scattered clouds,03n,stations,298.15,303.87,298.15,298.15,1011,100,,,1,,35,1578455781,BR,1578393309,1578437811,-18000,3665016,Benjamin Constant,200,,,,,,10000,1,8600,,,,,,,,
codrington,153.24,-28.95,802,Clouds,scattered clouds,03d,stations,305.53,304.41,302.15,307.15,1012,36,,,4.1,40,40,1578455782,AU,1578423374,1578473396,39600,2160063,Codrington,200,,,,,,10000,1,9537,,,,,,,,
lang son,106.73,21.83,802,Clouds,scattered clouds,03d,model,295.62,296.19,295.62,295.62,1019,70,1019,976,2.42,174,47,1578455782,VN,1578439991,1578479110,25200,1576633,Lang Son,200,,,,,,,,,,,,,,,,
lorengau,147.27,-2.02,501,Rain,moderate rain,10d,model,299.18,300.68,299.18,299.18,1006,90,1006,1007,6.39,207,100,1578455782,PG,1578427803,1578471833,36000,2092164,Lorengau,200,,,,,,,,,10.94,,,,,,,
port macquarie,152.91,-31.43,800,Clear,clear sky,01d,stations,305.23,305.65,301.15,309.26,1012,58,,,6.7,110,0,1578455783,AU,1578423107,1578473821,39600,2152659,Port Macquarie,200,,,,,,10000,1,9610,,,,,,,,
mariental,-49.65,-25.72,803,Clouds,broken clouds,04n,stations,293.39,295.26,292.59,294.15,1015,94,,,2.1,60,75,1578455783,BR,1578472515,1578521671,-10800,3458826,Mariental,200,,,,,,10000,1,8346,,,,,,,,
butaritari,172.79,3.07,500,Rain,light rain,10d,model,302.02,302.9,302.02,302.02,1005,80,1005,1005,7.98,56,100,1578455784,KI,1578422179,1578465204,43200,2110227,Butaritari,200,,,,,,,,,1.13,,,,,,,
castro,-73.76,-42.48,500,Rain,light rain,10n,stations,284.15,280.22,284.15,284.15,1003,76,,,4.6,300,40,1578455784,CL,1578475675,1578530087,-10800,3896218,Castro,200,,,,,,10000,1,8512,,,,,,,,
klaksvik,-6.59,62.23,500,Rain,light rain,10n,stations,274.15,261.1,274.15,274.15,979,80,,,15.4,260,100,1578455784,FO,1578476726,1578496785,0,2618795,Klaksvik,200,,,,,,5000,1,1596,,28.3,,,,,,
carutapera,-46.02,-1.2,500,Rain,light rain,10n,model,300.48,301.92,300.48,300.48,1012,78,1012,1012,5.55,42,52,1578455784,BR,1578474288,1578518155,-10800,3402648,Carutapera,200,,,,,,,,,2.63,,,,,,,
lompoc,-120.46,34.64,800,Clear,clear sky,01n,stations,282.25,277.9,279.26,285.37,1019,81,,,4.91,346,1,1578455785,US,1578409764,1578445569,-28800,5367788,Lompoc,200,,,,,,16093,1,4558,,,,,,,,
dabhol,73.17,17.6,800,Clear,clear sky,01d,model,298.41,299,298.41,298.41,1014,76,1014,1014,4.94,358,0,1578455785,IN,1578447577,1578487637,19800,1273765,Dabhol,200,,,,,,,,,,,,,,,,
swellendam,20.44,-34.02,801,Clouds,few clouds,02d,stations,293.15,295.22,293.15,293.15,1005,88,,,1,320,15,1578455785,ZA,1578454534,1578505998,7200,950709,Swellendam,200,,,,,,,1,1966,,,,,,,,
bredasdorp,20.04,-34.53,800,Clear,clear sky,01d,stations,290.55,291.61,289.26,293.15,1005,88,,,1,320,0,1578455786,ZA,1578454551,1578506173,7200,1015776,Bredasdorp,200,,,,,,,1,1966,,,,,,,,
tuatapere,167.69,-46.13,804,Clouds,overcast clouds,04d,stations,288.71,285.28,288.71,288.71,1015,69,,,4.92,212,89,1578455786,NZ,1578416886,1578472946,46800,2180815,Tuatapere,200,,,,,,,3,2008959,,8.49,,,,,,
haines junction,-137.51,60.75,600,Snow,light snow,13n,model,247.57,242.5,247.57,247.57,1014,99,1014,866,1.88,13,98,1578455786,CA,1578420891,1578442629,-28800,5969025,Haines Junction,200,0.13,,,,,,,,,,,,,,,
tasiilaq,-37.64,65.61,803,Clouds,broken clouds,04n,model,257.28,246.74,257.28,257.28,969,43,969,964,9.7,295,80,1578455787,GL,1578487023,1578501396,-10800,3424607,Tasiilaq,200,,,,,,,,,,,,,,,,
cheremukhovo,46.23,56.23,800,Clear,clear sky,01n,model,260.42,255.03,260.42,260.42,1027,95,1027,1013,3.01,183,4,1578455787,RU,1578461085,1578487065,10800,466423,Cheremukhovo,200,,,,,,,,,,,,,,,,
east london,27.91,-33.02,802,Clouds,scattered clouds,03d,stations,294.15,297.29,294.15,294.15,1008,100,,,1.5,310,40,1578455787,ZA,1578452891,1578504054,7200,1006984,East London,200,,,,,,10000,1,1912,,,,,,,,
kidal,1.41,18.44,803,Clouds,broken clouds,04n,model,288.02,280,288.02,288.02,1016,15,1016,960,6.94,84,76,1578455788,ML,1578464893,1578504776,0,2455290,Kidal,200,,,,,,,,,,,,,,,,
araouane,-3.53,18.9,803,Clouds,broken clouds,04n,model,287.52,281.9,287.52,287.52,1015,17,1015,983,3.63,15,67,1578455788,ML,1578466129,1578505912,0,2460954,Araouane,200,,,,,,,,,,,,,,,,
hirara,125.28,24.8,803,Clouds,broken clouds,04d,stations,292.15,289.04,292.15,292.15,1021,82,,,7.2,10,75,1578455788,JP,1578435885,1578474309,32400,1862505,Hirara,200,,,,,,10000,1,8143,,,,,,,,
bambous virieux,57.76,-20.34,802,Clouds,scattered clouds,03d,stations,298.62,303.21,298.15,299.15,1012,94,,,2.12,166,40,1578455789,MU,1578447372,1578495242,14400,1106677,Bambous Virieux,200,,,,,,10000,1,2061,,,,,,,,
san quintin,120.52,17.54,800,Clear,clear sky,01d,model,301.65,303.58,301.65,301.65,1015,55,1015,1000,1.59,350,0,1578455789,PH,1578436205,1578476275,28800,1688687,San Quintin,200,,,,,,,,,,,,,,,,
vavuniya,80.5,8.76,803,Clouds,broken clouds,04d,model,297.95,300.5,297.95,297.95,1014,83,1014,1005,2.86,38,77,1578455789,LK,1578444901,1578486794,19800,1225018,Vavuniya,200,,,,,,,,,,,,,,,,
chimoio,33.48,-19.11,803,Clouds,broken clouds,04d,stations,296.15,300.13,296.15,296.15,1016,94,,,1.02,181,62,1578455789,MZ,1578453342,1578500929,7200,1049261,Chimoio,200,,,,,,10000,1,2199,,,,,,,,
longyan,117.03,25.1,800,Clear,clear sky,01d,model,291.29,288.94,291.29,291.29,1023,40,1023,947,1.56,25,0,1578455790,CN,1578437901,1578476254,28800,1802276,Longyan,200,,,,,,,,,,,,,,,,
kapaa,-159.32,22.08,802,Clouds,scattered clouds,03d,stations,297.86,294.42,295.93,300.15,1021,69,,,9.3,50,40,1578455790,US,1578417468,1578456523,-36000,5848280,Kapaa,200,,,,,,16093,1,7873,,14.4,,,,,,
inhambane,35.38,-23.87,801,Clouds,few clouds,02d,stations,300.15,302.96,300.15,300.15,1012,83,,,4.18,77,20,1578455790,MZ,1578452327,1578501032,7200,1045114,Inhambane,200,,,,,,10000,1,2200,,,,,,,,
cape town,18.42,-33.93,803,Clouds,broken clouds,04d,stations,291.73,293.73,290.93,292.15,1006,100,,,1.5,,75,1578455791,ZA,1578455033,1578506469,7200,3369157,Cape Town,200,,,,,,8000,1,1899,,,,,,,,
kaitangata,169.85,-46.28,804,Clouds,overcast clouds,04d,stations,287.59,285.87,287.59,287.59,1012,71,,,2.24,90,100,1578455791,NZ,1578416331,1578472463,46800,2208248,Kaitangata,200,,,,,,,3,2000217,,4.92,,,,,,
udachnyy,112.4,66.42,803,Clouds,broken clouds,04d,stations,257.15,252.24,257.15,257.15,1007,84,,,2,270,79,1578455791,RU,1578452079,1578464299,32400,2014624,Udachnyy,200,,,,,,10000,1,8846,,,,,,,,
souillac,-0.6,45.6,804,Clouds,overcast clouds,04n,stations,283.57,281.97,283.15,284.15,1031,93,,,2.1,220,90,1578455792,FR,1578469326,1578501309,3600,3026644,Souillac,200,,,,,,7000,1,6452,,,,,,,,
santiago del estero,-64.26,-27.8,800,Clear,clear sky,01n,model,297.89,296.87,297.89,297.89,1006,55,1006,972,3.8,15,0,1578455792,AR,1578475755,1578525445,-10800,3835869,Santiago del Estero,200,,,,,,,,,,,,,,,,
portales,-103.33,34.19,800,Clear,clear sky,01n,stations,277.77,272.89,277.04,279.15,1024,21,,,2.1,220,1,1578455793,US,1578405587,1578441522,-25200,5484874,Portales,200,,,,,,16093,1,3728,,,,,,,,
oudtshoorn,22.2,-33.59,800,Clear,clear sky,01d,stations,296.15,296.23,296.15,296.15,1006,60,,,2.1,350,0,1578455794,ZA,1578454177,1578505510,7200,967106,Oudtshoorn,200,,,,,,10000,1,1918,,,,,,,,
la libertad,-71.56,-16.38,802,Clouds,scattered clouds,03n,stations,284.15,283.21,284.15,284.15,1028,87,,,1,,40,1578455794,PE,1578392429,1578439425,-18000,3947322,La Libertad,200,,,,,,10000,1,8696,,,,,,,,
vaitape,-151.75,-16.52,800,Clear,clear sky,01d,model,300.8,300.53,300.8,300.8,1010,78,1010,1009,8.24,103,4,1578455795,PF,1578411668,1578458689,-36000,4033077,Vaitape,200,,,,,,,,,,,,,,,,
xiaoweizhai,107.51,26.23,500,Rain,light rain,10d,model,286.65,284.76,286.65,286.65,1018,93,1018,904,3.76,153,100,1578455795,CN,1578440323,1578478403,28800,1789945,Xiaoweizhai,200,,,,,,,,,0.25,,,,,,,
gazanjyk,55.52,39.24,800,Clear,clear sky,01d,model,275.35,270.62,275.35,275.35,1019,62,1019,967,3.14,93,0,1578455795,TM,1578454655,1578489034,18000,161974,Gazanjyk,200,,,,,,,,,,,,,,,,
okha,142.95,53.59,804,Clouds,overcast clouds,04d,model,262.3,254.4,262.3,262.3,1011,90,1011,1007,6.71,288,100,1578455795,RU,1578436959,1578464751,39600,2122614,Okha,200,,,,,,,,,,,,,,,,
hermanus,19.24,-34.42,800,Clear,clear sky,01d,stations,290.58,290.44,289.26,292.04,1006,95,,,3.38,213,0,1578455796,ZA,1578454760,1578506348,7200,3366880,Hermanus,200,,,,,,,3,2003650,,,,,,,,
vardo,-77.74,39.62,741,Fog,fog,50n,stations,270.39,265.98,268.15,272.04,1015,86,,,2.6,180,90,1578455796,US,1578400305,1578434516,-18000,4372777,Vardo,200,,,,,,805,1,4360,,,,,,,,
rosario,-57.35,-34.31,800,Clear,clear sky,01n,stations,290.93,287.55,290.93,290.93,1008,59,,,4.76,5,0,1578455796,UY,1578473170,1578524712,-10800,3440747,Rosario,200,,,,,,,3,2003248,,,,,,,,
mount gambier,140.78,-37.83,804,Clouds,overcast clouds,04d,stations,302.15,297.63,302.15,302.15,1017,37,,,7.7,180,100,1578455797,AU,1578425016,1578477736,37800,2156643,Mount Gambier,200,,,,,,10000,1,9560,,,,,,,,
baran,76.52,25.1,500,Rain,light rain,10d,model,289.14,288.3,289.14,289.14,1014,69,1014,982,1.39,220,71,1578455797,IN,1578447625,1578485981,19800,1277084,Baran,200,,,,,,,,,0.38,,,,,,,
upernavik,-56.15,72.79,804,Clouds,overcast clouds,04n,model,246.22,240.4,246.22,246.22,991,72,991,988,2.83,100,99,1578455797,GL,0,0,-10800,3418910,Upernavik,200,,,,,,,,,,,,,,,,
salalah,54.1,17.01,801,Clouds,few clouds,02d,stations,297.15,294.84,297.15,297.15,1017,50,,,4.6,360,20,1578455797,OM,1578452091,1578492280,14400,286621,Salalah,200,,,,,,10000,1,7562,,,,,,,,
san luis,-66.34,-33.3,800,Clear,clear sky,01n,model,297.98,291.93,297.98,297.98,1003,26,1003,950,6.76,9,0,1578455798,AR,1578475483,1578526716,-10800,3837056,San Luis,200,,,,,,,,,,,,,,,,
yarmouth,-66.12,43.84,804,Clouds,overcast clouds,04n,stations,270.61,265.76,270.15,270.93,1015,79,,,3.1,60,90,1578455798,CA,1578398298,1578430945,-14400,6185217,Yarmouth,200,,,,,,24140,1,893,,,,,,,,
awbari,12.77,26.59,800,Clear,clear sky,01n,model,276.63,273.74,276.63,276.63,1026,68,1026,961,0.93,85,0,1578455799,LY,1578463107,1578501108,7200,2219235,Awbari,200,,,,,,,,,,,,,,,,
coracora,-73.78,-15.02,500,Rain,light rain,10n,model,281.9,279.98,281.9,281.9,1018,90,1018,683,1.81,198,100,1578455799,PE,1578393111,1578439810,-18000,3942259,Coracora,200,,,,,,,,,0.13,,,,,,,
basoko,23.61,1.23,803,Clouds,broken clouds,04n,model,294.45,295.94,294.45,294.45,1009,66,1009,959,0.02,261,72,1578455799,CD,1578457811,1578501199,7200,219414,Basoko,200,,,,,,,,,,,,,,,,
